"","VannKraftverkID","Navn","VannKVType","HovedEier","HovedEier_OrgNr","Fylke","FylkesNr","Kommune","KommuneNr","ForsteUtnyttelseAvFalletDato","DatoForEldsteKraftproduserendeDel","MaksYtelse","MidProd_81_10","BruttoFallhoyde_M","Slukeevne","EnEkv","ElspotomraadeNummer","RegineNr"
"1489",1229,"Ufysja","Kraftverk","UFYSJA KRAFTVERK AS","987598077","Buskerud","06","Hol","20","2005-12-15T00:00:00","2005-12-15T00:00:00",1.5,6,163,1.2,0.347,"5","015.MHZ"
"1490",1530,"Ugedal","Kraftverk","UGEDAL ENERGI AS","988306665","Trøndelag","50","Åfjord","18","2006-03-20T00:00:00","2006-03-20T00:00:00",0.6,1.7,NA,NA,NA,"3","135.C"
"1491",848,"Uleberg","Kraftverk","AGDER ENERGI VANNKRAFT AS","882973972","Aust-Agder","09","Evje og Hornnes","37","2006-03-30T00:00:00","2006-03-30T00:00:00",9.4,38,179.5,6.15,0.425,"2","021.BAA"
"1492",472,"Ulefoss","Kraftverk","ALBERT COLLETT","911074184","Trøndelag","50","Nærøy","51","1931-01-01T00:00:00","1931-01-01T00:00:00",2.1,15.4059,29,8.06,0.061,"3","141.B"
"1493",473,"Ulefoss","Kraftverk","ULEFOSS KRAFTVERK DA","992840978","Telemark","08","Nome","19","1963-04-01T00:00:00","1963-04-01T00:00:00",6.4,47.684,10,74,0.024,"2","016.BA21"
"1494",1823,"Ullestad","Kraftverk","ULLESTAD KRAFT AS","998590140","Rogaland","11","Hjelmeland","33","2016-03-01T00:00:00","2016-03-01T00:00:00",5.42,21.5,214,2.95,0.51,"2","033.B1A"
"1495",474,"Ulset","Kraftverk","KRAFTVERKENE I ORKLA DA","947576283","Hedmark","04","Tynset","37","1985-03-01T00:00:00","1985-03-01T00:00:00",35,151.5304,320,12,0.81,"3","121.E81"
"1496",475,"Ulsteindal","Kraftverk","TUSSA ENERGI AS","876795442","Møre og Romsdal","15","Ulstein","16","1917-01-01T00:00:00","1917-01-01T00:00:00",1.3,5.4471,195,0.8,0.451,"3","096.2A0"
"1497",476,"Ulvik I","Kraftverk","HARDANGER ENERGI AS","983502601","Hordaland","12","Ulvik","33","1921-01-01T00:00:00","1921-01-01T00:00:00",1.3999,6.6655,60,3.19,0.122,"5","051.3Z"
"1498",477,"Ulvik II","Kraftverk","BKK PRODUKSJON AS","876944642","Hordaland","12","Ulvik","33","1974-08-20T00:00:00","1974-08-20T00:00:00",20,92.908,380.6,5.8,0.958,"5","051.3A"
"1499",627,"Ulvilla","Kraftverk","CHR SALVESEN & CHR THAMS'S COMMUNICATIONS AKTIESELSKAB","915640850","Trøndelag","50","Verdal","38","1989-11-20T00:00:00","1989-11-20T00:00:00",1.1,5.8022,84.5,1.5,0.203,"3","127.B1"
"1500",478,"Ulvund","Kraftverk","NEAS AS","960684737","Møre og Romsdal","15","Sunndal","63","1939-11-01T00:00:00","1939-11-01T00:00:00",19.5,69.4526,85,30,0.181,"3","111.5A1"
"1501",1205,"Undfossen","Kraftverk","SKS PRODUKSJON AS","915637353","Nordland","18","Bodø","04","1995-10-18T00:00:00","1995-10-18T00:00:00",0.84,3.9,NA,NA,NA,"4","165.7D"
"1502",918,"Unhjemskraft","Kraftverk","UNHJEMKRAFT AS","986604014","Møre og Romsdal","15","Rauma","39","2004-10-22T00:00:00","2004-10-22T00:00:00",0.9,3.5,370,NA,NA,"3","103.4B"
"1503",1645,"Unkervatn","Kraftverk","FRIKULT AS","984685920","Nordland","18","Hattfjelldal","26","2008-06-19T00:00:00","2008-06-19T00:00:00",0.21,0.7,86,0.33,NA,"4","151.FB"
"1504",1508,"Urdsdalselva","Kraftverk","SMÅKRAFT AS","984616155","Nordland","18","Vefsn","24","2012-05-15T00:00:00","2012-05-15T00:00:00",2.8,8.4,193,1.9,0.409,"4","152.3"
"1505",1352,"Urke","Kraftverk","TUSSA ENERGI AS","876795442","Møre og Romsdal","15","Ørsta","20","2008-05-11T00:00:00","2008-05-11T00:00:00",8,26.8,353.5,4,0.741,"3","097.42Z"
"1506",837,"Urlandåga","Kraftverk","SMÅKRAFT AS","984616155","Nordland","18","Hemnes","32","2005-01-10T00:00:00","2005-01-10T00:00:00",1.6,6.6,240,0.75,0.592,"4","156.21Z"
"1507",1448,"Usma","Kraftverk","SMÅKRAFT AS","984616155","Møre og Romsdal","15","Sunndal","63","2010-04-13T00:00:00","2010-04-13T00:00:00",5.49,17.1,125,5,0.305,"3","109.4B"
"1508",1734,"Usma","Kraftverk","USMA KRAFT AS","995839865","Trøndelag","50","Selbu","32","2013-10-21T00:00:00","2013-10-21T00:00:00",9.98,30.5,286,4.4,0.63,"3","123.D1Z"
"1509",480,"Usta","Kraftverk","E-CO ENERGI AS","976894677","Buskerud","06","Ål","19","1965-10-18T00:00:00","1965-10-18T00:00:00",184,890.0443,540,40.99,1.246,"5","012.CF6"
"1510",481,"Ustekveikja","Kraftverk","USTEKVEIKJA KRAFTVERK DA","971040246","Buskerud","06","Hol","20","1983-01-02T00:00:00","1983-01-02T00:00:00",36.5,72.9785,113,38.54,0.263,"5","012.CJ4"
"1511",1156,"Uthusbekken","Kraftverk","","","Trøndelag","50","Selbu","32","2000-01-01T00:00:00","2000-01-01T00:00:00",0.009,0.046,NA,NA,NA,"3","123.C1"
"1512",958,"Utigardselva","Kraftverk","UTIGARDSELVA DA","986904204","Sogn og Fjordane","14","Stryn","49","2005-03-24T00:00:00","2005-03-24T00:00:00",0.1,0.5,NA,NA,NA,"3","087.51"
"1513",1118,"Utistubekken","Kraftverk","","","Trøndelag","50","Indre Fosen","54","1995-01-01T00:00:00","1995-01-01T00:00:00",0.025,0.046,NA,NA,NA,"3","131.8"
"1514",1636,"Utne","Kraftverk","JAN ASBJØRN UTNE","979532601","Hordaland","12","Ullensvang","31","2008-02-04T00:00:00","2008-02-04T00:00:00",0.4,1.3,80,NA,NA,"5","047.40"
"1515",861,"Uvdal","Kraftverk","","","Telemark","08","Bø i Telemark","21","1993-01-01T00:00:00","1993-01-01T00:00:00",0.037,0.12,NA,NA,NA,"2","016.BA3Z"
"1516",482,"Uvdal I","Kraftverk","SKAGERAK KRAFT AS","979563531","Buskerud","06","Nore og Uvdal","33","1967-09-20T00:00:00","1967-09-20T00:00:00",90,239.0206,595,19,1.315,"5","015.JB81"
"1517",483,"Uvdal II","Kraftverk","SKAGERAK KRAFT AS","979563531","Buskerud","06","Nore og Uvdal","33","1967-09-20T00:00:00","1967-09-20T00:00:00",40,152.2665,193,25.03,0.444,"5","015.JB2"
"1518",1324,"Vaage","Kraftverk","VAAGE KRAFT AS","989741241","Rogaland","11","Suldal","34","2007-05-14T00:00:00","2007-05-14T00:00:00",0.49,1.58,NA,NA,NA,"2","036.21"
"1519",1219,"Vada","Kraftverk","VADAKRAFT DA","977571278","Trøndelag","50","Verran","39","2003-01-01T00:00:00","2003-01-01T00:00:00",0.35,1.4,127.5,NA,NA,"3","129.42"
"1520",484,"Vafos","Kraftverk","SKAGERAK KRAFT AS","979563531","Telemark","08","Kragerø","15","1954-01-01T00:00:00","1954-01-01T00:00:00",4.89,28.296,13.19,40,0.028,"2","017.A0"
"1521",1773,"Vaka","Kraftverk","VAKA KRAFTVERK AS","911788756","Rogaland","11","Vindafjord","60","2014-05-09T00:00:00","2014-05-09T00:00:00",1.1,4.65,258.66,0.488,0.626,"2","041.320"
"1522",1958,"Vaksvik","Kraftverk","CK KRAFTHOLDING MIDT-NORGE AS","993016608","Møre og Romsdal","15","Ørskog","23","2019-02-13T00:00:00","2019-02-13T00:00:00",7.74,21,189,5.2,0.413,"3","100.3Z"
"1523",486,"Valen","Kraftverk","VALEN KRAFTVERK AS","985383820","Hordaland","12","Kvinnherad","24","1939-01-01T00:00:00","2008-08-05T00:00:00",3.8,20.1334,300,0.69,0.634,"2","042.92Z"
"1524",1496,"Valgermo Giskemo","Kraftverk","VALGERMO/GISKEMO KRAFT AS","893463852","Møre og Romsdal","15","Ørskog","23","2010-05-03T00:00:00","2010-05-03T00:00:00",0.98,3.3,26,4.5,NA,"3","101.1Z"
"1525",1778,"Valken","Kraftverk","SAKSENVIK KRAFT AS","980411060","Nordland","18","Saltdal","40","2015-12-01T00:00:00","2015-12-01T00:00:00",9.2,30,208.5,5.3,0.482,"4","163.5Z"
"1526",1466,"Vallestadfossen","Kraftverk","VALLESTADFOSSEN KRAFTVERK AS","987318848","Sogn og Fjordane","14","Gaular","30","2006-01-01T00:00:00","2006-01-01T00:00:00",0.92,6.5,56,2,NA,"3","083.D6"
"1527",487,"Valsøyfjord","Kraftverk","SVORKA PRODUKSJON AS","973058347","Møre og Romsdal","15","Halsa","71","1942-01-01T00:00:00","1942-01-01T00:00:00",4.277,19.2096,187,3,0.396,"3","113.512Z"
"1528",1573,"Valvatn","Kraftverk","TINFOS AS","916763476","Finnmark - Finnmárku","20","Sør-Varanger","30","2010-12-21T00:00:00","2010-12-21T00:00:00",1,4,43.15,2.8,NA,"4","247.7C"
"1529",1769,"Valåe","Kraftverk","SMÅKRAFT AS","984616155","Oppland","05","Lesja","12","2014-11-27T00:00:00","2014-11-27T00:00:00",1.93,5.5,248,0.85,0.631,"3","002.DM"
"1530",488,"Vamma","Kraftverk","E-CO ENERGI AS","976894677","Østfold","01","Askim","24","1915-04-01T00:00:00","1915-04-01T00:00:00",344,1506.8,27.5,950,0.067,"1","002.B3"
"1531",1821,"Vangjolo","Kraftverk","VANGJOLO KRAFT AS","914462703","Hordaland","12","Voss","35","2018-07-31T00:00:00","2018-07-31T00:00:00",9.5,26.7,481.55,2.23,1.183,"5","062.E130"
"1532",490,"Vangpollen","Kraftverk","VESTERÅLSKRAFT PRODUKSJON AS","977044863","Nordland","18","Sortland – Suortá","70","1942-01-01T00:00:00","1942-01-01T00:00:00",3.5,15.1918,313,1.4,0.694,"4","178.46Z"
"1533",1410,"Vanndøla","Kraftverk","LUSTER SMÅKRAFT AS","988913480","Sogn og Fjordane","14","Luster","26","2008-05-29T00:00:00","2008-05-29T00:00:00",3.8,12,510,0.93,NA,"5","076.D3A"
"1534",1397,"Vannebo","Kraftverk","CHR SALVESEN & CHR THAMS'S COMMUNICATIONS AKTIESELSKAB","915640850","Trøndelag","50","Overhalla","47","1914-01-31T00:00:00","1914-01-31T00:00:00",0.785,3.2,NA,NA,NA,"3","139.A2C"
"1535",1013,"Vanvik","Kraftverk","VANVIK KRAFTLAG","884171792","Rogaland","11","Suldal","34","2003-01-01T00:00:00","2003-01-01T00:00:00",0.27,1.08,NA,NA,NA,"2","036.32"
"1536",1169,"Varalden","Kraftverk","E-CO ENERGI AS","976894677","Hedmark","04","Kongsvinger","02","1985-12-15T00:00:00","1985-12-15T00:00:00",0.6,2,NA,NA,NA,"1","313.A1F4"
